-2.94578,0.39534,0.39157
-2.91867,0.43410,0.44296
-2.88253,0.49612,0.49213
-2.85542,0.54263,0.54462
-2.82831,0.58139,0.58072
-2.79216,0.59689,0.59756
-2.75602,0.58139,0.57474
-2.71084,0.51937,0.52602
-2.67469,0.47286,0.46954
-2.64759,0.42635,0.42635
-2.61144,0.40310,0.40708
-2.56626,0.42635,0.4288
-2.52108,0.47286,0.4657
-2.51100,0.49086,0.4944
-2.50010,0.51213,0.50741
-2.49397,0.52713,0.53639
-2.44879,0.58139,0.57502
-2.41265,0.61240,0.61578
-2.39457,0.63194,0.62654
-2.37650,0.61240,0.6171
-2.34036,0.58914,0.58614
-2.30421,0.54263,0.54263
-2.27710,0.48837,0.48837
-2.25000,0.44186,0.44518
-2.22289,0.41860,0.41196
-2.19578,0.39534,0.40398
-2.15963,0.42635,0.42236
-2.14156,0.46511,0.46179
-2.12349,0.51162,0.5196
-2.09638,0.60465,0.59867
-2.06927,0.68992,0.6959
-2.02409,0.78294,0.7763
-1.98795,0.82945,0.83277
-1.94277,0.85271,0.84872
-1.91566,0.83720,0.84119
-1.87048,0.81395,0.81261
-1.82530,0.76741,0.76808
-1.78012,0.69767,0.69633
-1.73493,0.59689,0.5949
-1.68975,0.47286,0.47485
-1.64457,0.35658,0.35526
-1.60843,0.25581,0.25976
-1.57228,0.19371,0.18976
-1.55421,0.14728,0.1519
-1.54518,0.13953,0.13422
-1.51807,0.13953,0.14285
-1.49096,0.17829,0.1763
-1.43674,0.24806,0.24939
-1.40060,0.36434,0.36966
-1.32831,0.52713,0.52248
-1.28313,0.67441,0.67375
-1.23795,0.79844,0.79911
-1.20180,0.89922,0.90055
-1.17469,0.96899,0.96567
-1.13855,0.98449,0.98647
-1.10240,0.9612,0.96255
-1.06626,0.89147,0.87633
-1.00301,0.75193,0.7735
-0.98625,0.6959,0.68316
-0.95876,0.6250,0.63184
-0.94501,0.5895,0.58696
-0.92439,0.5599,0.56094
-0.91065,0.5363,0.53475
-0.89690,0.5067,0.50724
-0.88316,0.4772,0.47717
-0.86254,0.4476,0.44712
-0.84192,0.4181,0.41962
-0.82817,0.3945,0.39297
-0.80756,0.3649,0.3649
-0.79381,0.3353,0.33633
-0.77319,0.3117,0.3117
-0.75257,0.2881,0.28706
-0.73195,0.2585,0.25802
-0.71134,0.2290,0.23101
-0.69759,0.2113,0.20877
-0.68384,0.1936,0.19816
-0.68384,0.1936,0.18902
-0.66323,0.1758,0.17684
-0.64261,0.1581,0.1586
-0.62886,0.1463,0.14629
-0.60824,0.1404,0.13991
-0.58762,0.1405,0.14201
-0.56701,0.1524,0.1514
-0.53951,0.1643,0.16427
-0.51890,0.1761,0.17613
-0.49140,0.1880,0.19002
-0.46391,0.1999,0.19584
-0.44329,0.1881,0.19013
-0.42268,0.1763,0.17681
-0.39518,0.1645,0.16349
-0.37457,0.1468,0.14731
-0.35395,0.1291,0.1291
-0.33333,0.1114,0.11089
-0.30584,0.0937,0.09471
-0.27835,0.0819,0.08088
-0.25085,0.0701,0.07062
-0.20962,0.0643,0.06481
-0.17525,0.0644,0.06387
-0.14776,0.0644,0.06443
-0.11340,0.0645,0.06501
-0.07903,0.0646,0.06306
-0.05154,0.0587,0.06076
-0.02405,0.0588,0.05776
0.003436,0.0529,0.0524
0.024054,0.0411,0.0416
0.051546,0.0293,0.02882
0.085910,0.0176,0.01859
0.113402,0.0117,0.01119
0.140893,0.0058,0.00532
0.168384,0.0000,9.85714E-4
0.195876,0.0000,-4.97143E-4
0.223367,0.0000,0
0.250859,0.0000,0
0.285223,0.0000,0
0.333333,0.0000,0
0.381443,0.0000,0
0.422680,0.0000,0
0.463917,0.0000,0
0.505154,0.0000,0
0.546391,0.0000,0
0.594501,0.0000,0
0.642611,0.0000,0
0.676975,0.0000,0
0.718213,0.0000,0
0.766323,0.0000,0
0.814432,0.0000,0
0.862542,0.0000,0
0.896907,0.0000,0
0.951890,0.0000,-4.8E-4
0.993127,0.0000,0.00126
1.034364,0.0056,0.00419
1.075601,0.0077,0.00766
1.116838,0.0137,0.01589
1.151202,0.0315,0.02897
1.178694,0.0434,0.04492
1.206185,0.0612,0.06069
1.226804,0.0790,0.07849
1.254295,0.0968,0.09781
1.281786,0.1205,0.1205
1.309278,0.1442,0.14319
1.336769,0.1620,0.16301
1.364261,0.1798,0.1798
1.391752,0.1917,0.1907
1.419243,0.1918,0.19229
1.446735,0.1859,0.18591
1.474226,0.1741,0.17359
1.501718,0.1564,0.15639
1.529209,0.1387,0.14024
1.549828,0.1270,0.12495
1.577319,0.1093,0.10931
1.604810,0.0975,0.10002
1.632302,0.1034,0.10139
1.659793,0.1094,0.10939
1.680412,0.1213,0.12282
1.701030,0.1450,0.14399
1.728522,0.1687,0.1687
1.749140,0.1924,0.19239
1.769759,0.2161,0.21663
1.797250,0.2399,0.23988
1.824742,0.2577,0.25768
1.852233,0.2636,0.26161
1.879725,0.2519,0.2544
1.907216,0.2401,0.23734
1.934707,0.2165,0.21846
1.942771,0.20155,0.20265
1.955326,0.19284,0.19163
1.975945,0.17512,0.17509
1.996987,0.14728,0.14561
2.033132,0.10852,0.11012
2.069277,0.07751,0.07552
2.096385,0.05426,0.05824
2.123493,0.06201,0.06002
2.150602,0.07751,0.07751
2.168674,0.10077,0.1001
2.186746,0.13178,0.13311
2.204819,0.17829,0.1763
2.222891,0.23255,0.2372
2.250000,0.31007,0.30409
2.268072,0.37209,0.37076
2.286144,0.44961,0.4609
2.313253,0.58914,0.58516
2.340361,0.70542,0.69877
